"SOURCE_SYSTEM","SOURCE_CONN","TABSCHEMA","TABNAME","COLNO","COLNAME","TYPENAME","LENGTH","SCALE","REMARKS","TAB_CATALOG","TAB_REMARKS","LIMITIERUNG"
"21C",SBK21C,USR01537,CR_PROBLEMART,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,4,VALIDFROM,DATE,4,0,attribute ValidFrom in class framework.business.TemporalModel,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,5,VALIDTO,DATE,4,0,attribute ValidTo in class framework.business.TemporalModel,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,6,EBENE,SMALLINT,2,0,attribute Ebene in class partner.business.HierarchieModel,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,7,SORTIERUNG,SMALLINT,2,0,attribute Sortierung in class partner.business.HierarchieModel,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,8,TEXT,VARCHAR,50,0,attribute Text in class partner.business.HierarchieModel,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,9,BESCHREIBUNG,VARCHAR,2048,0,attribute Beschreibung in class partner.business.HierarchieModel,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,10,LRBZUORDBAR,SMALLINT,2,0,attribute LrbZuordbar in class crm.business.beschwerde.ProblemartModel,,class crm.business.beschwerde.ProblemartModel,
"21C",SBK21C,USR01537,CR_PROBLEMART,11,VORGAENGER_HIERARCHIE_ID,BIGINT,8,0,foreign key; references table PP_Hierarchie (class partner.business.HierarchieModel),,class crm.business.beschwerde.ProblemartModel,
